ts,event,symbol,side,volume,price,sl,tp,retcode,comment,atr,dist_up,dist_low,near_thr,adx_h1,confidence,ticket,extra
2025-08-13T20:48:37.140757,session_start,,,,,,,,,,,,,,,,baseline=2949.53
2025-08-13T20:48:37.179835,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.11400000000000432,0.012000000000000455,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:48:42.238869,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.11400000000000432,0.012000000000000455,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:48:47.279593,signal,EURUSD,BUY,,,,,,,0.00015099999999996784,0.00017000000000000348,0.0007599999999998719,5.284999999998874e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:48:47.304640,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.11400000000000432,0.012000000000000455,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:48:52.364077,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.11400000000000432,0.012000000000000455,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:48:57.403618,signal,EURUSD,BUY,,,,,,,0.00015099999999996784,0.00017000000000000348,0.0007599999999998719,5.284999999998874e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:48:57.423663,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.11400000000000432,0.012000000000000455,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:49:02.460003,signal,EURUSD,BUY,,,,,,,0.00015099999999996784,0.00017000000000000348,0.0007599999999998719,5.284999999998874e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:49:02.485049,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.1150000000000091,0.01099999999999568,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:49:07.536577,signal,USDJPY,SELL,,,,,,,0.025300000000004274,0.125,0.0010000000000047748,0.008855000000001495,28.071364902918297,0.7000000000000001,,
2025-08-13T20:49:12.603392,signal,USDJPY,SELL,,,,,,,0.02550000000000523,0.12700000000000955,0.0010000000000047748,0.00892500000000183,28.079877171225032,0.7000000000000001,,
2025-08-13T20:49:17.656744,signal,EURUSD,BUY,,,,,,,0.00015099999999996784,0.00014999999999987246,0.0007800000000000029,5.284999999998874e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:49:17.682812,signal,USDJPY,SELL,,,,,,,0.02550000000000523,0.125,0.0030000000000143245,0.00892500000000183,28.079877171225032,0.7000000000000001,,
2025-08-13T20:49:22.736566,signal,EURUSD,BUY,,,,,,,0.00015399999999996528,0.00011999999999989797,0.0008099999999999774,5.3899999999987846e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:49:22.763139,signal,USDJPY,SELL,,,,,,,0.02620000000000573,0.132000000000005,0.0030000000000143245,0.009170000000002005,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:27.833039,signal,USDJPY,SELL,,,,,,,0.02620000000000573,0.132000000000005,0.0030000000000143245,0.009170000000002005,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:32.906546,signal,USDJPY,SELL,,,,,,,0.02620000000000573,0.11700000000001864,0.018000000000000682,0.009170000000002005,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:37.969645,signal,USDJPY,SELL,,,,,,,0.02620000000000573,0.11700000000001864,0.018000000000000682,0.009170000000002005,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:43.033835,signal,USDJPY,SELL,,,,,,,0.02620000000000573,0.11700000000001864,0.018000000000000682,0.009170000000002005,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:48.095539,signal,USDJPY,SELL,,,,,,,0.02660000000000764,0.10800000000000409,0.027000000000015234,0.009310000000002672,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:53.156911,signal,USDJPY,SELL,,,,,,,0.02660000000000764,0.10800000000000409,0.027000000000015234,0.009310000000002672,28.109475667621435,0.7000000000000001,,
2025-08-13T20:49:58.212933,signal,USDJPY,SELL,,,,,,,0.024800000000004728,0.10699999999999932,0.02800000000002001,0.008680000000001653,28.109475667621435,0.7000000000000001,,
2025-08-13T20:50:03.251044,signal,EURUSD,BUY,,,,,,,0.00014299999999995984,0.00015999999999993797,0.0007500000000000284,5.004999999998594e-05,31.776148546929736,0.7000000000000001,,
2025-08-13T20:50:03.273160,signal,USDJPY,SELL,,,,,,,0.024800000000004728,0.10699999999999932,0.02800000000002001,0.008680000000001653,28.109475667621435,0.7000000000000001,,
2025-08-13T20:50:08.333099,signal,USDJPY,SELL,,,,,,,0.024800000000004728,0.10699999999999932,0.02800000000002001,0.008680000000001653,28.109475667621435,0.7000000000000001,,
2025-08-13T20:50:13.383828,signal,USDJPY,SELL,,,,,,,0.025000000000005684,0.11000000000001364,0.025000000000005684,0.008750000000001989,28.109475667621435,0.7000000000000001,,
2025-08-13T20:50:18.442796,signal,USDJPY,SELL,,,,,,,0.025000000000005684,0.10800000000000409,0.027000000000015234,0.008750000000001989,28.109475667621435,0.7000000000000001,,
